Module,Step,Step Text,Why State
,05_09,Close up the outside measuring contacts and make sure the contacts are flush together; and that no light shines through when held up in the light.,The purpose of this test is to make sure there is no damage to the outside measuring contacts which might have bent the contacts.  If that is the case; you will see light shine through and the reading will not be accurate.\n
,06_09,Zero out the reading by depressing the right ''Zero'' button once. Do not continue to hold button or the digital caliper will shut off.,If you forget to press the Zero button; you can introduce an electronic error into the measurement.
,07_09, If the previous step is compliant within the tollerance defined; check 1.495-1.505 Width on the O-Ring Plug sample part or parts. ,
,08_09,Slightly rock the Caliper back and forth to determine the smallest measurest that is displayed on the screen during the rocking motion. This will be the true measurement.,The reason for rocking the Caliper back and forth is that you can watch the digital reading and see the smallest reading(truest measurement) which is when the measurement contacts will be aligned properly. If you do not rock the Caliper back and forth; you will not be getting a true reading.
,09_09,Rotate the sample part approximately 180 degrees and make the same measurement.,You need to turn the part 180 degrees and make another measurement; because the surfaces might not be parallel and 2 measurements gives a more accurate representation.
,10_09,Compare both measurements and if they are not the same value continue to make measurements until you are confident you have an accurate measurement.,You need to continue rotating and making measurements; so that you are more confident that you technique is correct.
,11_09,Record final value on paper to the nearest .00X,
,,,
19_Char,01_19,Locate the Electronic Caliper.,
,02_19,Turn on the power by depressing the red button for 2 seconds.,
,03_19,Note mode (IN or mm); make sure the caliper in inch mode by depressing the left button until ''IN'' is displayed on the screen.,If the Caliper is not in the correct mode (IN); you will not attain an accurate reading.
,04_19,Wipe clean with a finger both outside contacts feeling for burrs as this is done.,If you do not wipe clean the contacts; small specks or foreign matter will add to the true measurement.
,05_19,Close up the outside measuring contacts and make sure the contacts are flush together; and that no light shines through when held up in the light.,The purpose of this test is to make sure there is no damage to the outside measuring contacts which might have bent the contacts.  If that is the case; you will see light shine through and the reading will not be accurate.
,06_19,Zero out the reading by depressing the right ''Zero'' button once. Do not continue to hold button or the digital caliper will shut off.,If you forget to press the Zero button; you can introduce an electronic error into the measurement.
,07_19,Measure the .110-.120 O-Ring Width with the inside nibs(top) of the caliper by first opening the caliper and capture the surfaces to be measured between the inside measuring contacts being careful not to let the contact points touch/measure into the radius in the base of the O-Ring Groove.,
,08_19,Slightly rock the caliper back and forth to determine the largest measurest that is displayed on the screen during the rocking motion.,The reason for rocking the Caliper back and forth is that you can watch the digital reading and see the smallest reading(truest measurement) which is when the measurement contacts will be aligned properly.\nIf you do not rock the Caliper back and forth; you will not be getting a true reading.
,09_19,Rotate the sample part approximately 180 degrees and make the same measurement.,You need to take this second measurement to make sure there are no inaccuracies or errors in inspection.
,10_19,Compare both measurements and if they are not the same value continue to make measurements until you are confident you have an accurate measurement. Record final value on paper to the nearest .00X,
,,,
,,,
,,,
,,,
23_Char,01_23,Locate the Interchangeable Anvil Micrometer.,
,02_23,Make sure that the Lock Nut is loose and you hold the Micrometer by the Thermal Insulator.,If the Lock Nut is not loose; the spindle will not rotate and no measurement is possible.\nYou should hold the Micrometer by the Thermal Insulator; because the heat from your hand will effect the reading if you do not.
,03_23,Identify the 3 Calibration Standards that measure 1''; 2''; and 3'' long. The Calibration Standards can be identified by having an insulated sleeve in the middle. The remaining other 3 items are called Anvils with a collar near one end. The shortest of these Anvils will be used for this inspection.,Different sizes of Anvils are used for each measurement range.  1''-2''; 2''-3''; and 3''-4''\nIf you choose the wrong size Anvil; you will not be able to make the measurement.
,04_23,Wipe clean every surface of the Anvils from any foreign matter before performing each inspection step.,If you do not wipe clean every surface from any foreign matter; small specks of debris will add to the true measurement.
,05_23,Unscrew the knurled Anvil cap from the micrometer and remove whatever Anvil was used last and replace it with the smallest Anvil in the group. Slide the shortest Anvil into the micrometer carefully with the threaded end first and tighten the knurled nut to secure the Anvil in place.,If you do not completely secure the Anvil in place; you will not get an accurate measurement.
,06_23,Calibration can be completed with the longest (3'') calibration Standard. Measure the 3.000'' Calibration Standard. Only turn the Thimble/Ratchet Knob until it starts ''clicking''. Then stop. The reading must be within 2.999 - 3.001. If it is not then stop and inform instructor. Otherwise; proceed to the next step.,If you do not properly calibrate the Anvil mic; there is guarantee the measurement will be accurate.
,07_23, If the previous step is compliant within the tollerance defined; check 3.990-4.010 Width on the Vee Block sample part or parts. Record value on paper to the nearest .00X.,
,,,
,,,
,,,
28_Char,01_28,Locate the Interchangeable Anvil Micrometer.,
,02_28,Make sure that the Lock Nut is loose and you hold the Micrometer by the Thermal Insulator.,If the Lock Nut is not loose; the spindle will not rotate and no measurement is possible.\nYou should hold the Micrometer by the Thermal Insulator; because the heat from your hand will effect the reading if you do not.
,03_28,Identify the 3 Calibration Standards that measure 1''; 2''; and 3'' long. The Calibration Standards can be identified by having an insulated sleeve in the middle. The remaining other 3 items are called Anvils with a collar near one end. The shortest of these Anvils will be used for this inspection.,Different sizes of Anvils are used for each measurement range.  1''-2''; 2''-3''; and 3''-4''\nIf you choose the wrong size Anvil; you will not be able to make the measurement.
,04_28,Wipe clean every surface of the Anvils from any foreign matter before performing each inspection step.,If you do not wipe clean every surface from any foreign matter; small specks of debris will add to the true measurement.
,05_28,Unscrew the knurled Anvil cap from the micrometer and remove whatever Anvil was used last and replace it with the smallest Anvil in the group. Slide the shortest Anvil into the micrometer carefully with the threaded end first and tighten the knurled nut to secure the Anvil in place.,If you do not completely secure the Anvil in place; you will not get an accurate measurement.
,06_28,Calibration can be completed with the longest (3'') calibration Standard. Measure the 3.000'' Calibration Standard. Only turn the Thimble/Ratchet Knob until it starts ''clicking''. Then stop. The reading must be within 2.999 - 3.001. If it is not then stop and inform instructor. Otherwise; proceed to the next step.,If you do not properly calibrate the Anvil mic; there is guarantee the measurement will be accurate.
,07_28, If the previous step is compliant within the tollerance defined then locate two .375 Gage Pins.,
,08_28,Locate the Electronic Cailper. ,
,09_28,Turn on the power by depressing the red button for 2 seconds or slide the body of the gage.,
,10_28,Note mode (IN or mm); make sure the caliper in inch mode by depressing the left button until ''IN'' is displayed on the screen.,If the Caliper is not in the correct mode (IN); you will not attain an accurate reading.
,11_28,Wipe clean with a finger both outside contacts feeling for burrs as this is done.,If you do not wipe clean the contacts; small specks or foreign matter will add to the true measurement.
,12_28,Close up the outside measuring contacts and make sure the contacts are flush together; and that no light shines through when held up in the light.,The purpose of this test is to make sure there is no damage to the outside measuring contacts which might have bent the contacts.  If that is the case; you will see light shine through and the reading will not be accurate.
,13_28,Zero out the reading by depressing the right ''Zero'' button once. Do not continue to hold button or the digital caliper will shut off.,If you forget to press the Zero button; you can introduce an electronic error into the measurement.
,14_28,Find two Gage Pins and make sure that they both measure .375. If not; stop and look for correct (.375) pins.,
,15_28,Find a strong elastic and place one .375 pin in the clean vee area and hold in place. Place the other pin in the other vee and now with the elastic engage the assembly; as shown.,You should firmly engage the Gage Pins with the vee geometries to precisely measure the distance between them.
,16_28,Measure across the entire assembly. Record value on paper to the nearest .00X,
,,,
,,,
32_Char,01_32,Locate the Electronic Micrometer. ,
,02_32,Make sure that the Lock Nut is loose and you hold the Micrometer by the Thermal Insulator.,If the Lock Nut is not loose; the spindle will not rotate and no measurement is possible.\nYou should hold the Micrometer by the Thermal Insulator; because the heat from your hand will effect the reading if you do not.
,03_32,Note the mode (IN or mm); make sure the Micrometer in in ''IN'' mode by depressing the left button until ''IN'' is displayed on the screen.,If the Micrometer is not in the correct mode (IN); you will not attain an accurate reading.
,04_32,Zero out the Micrometer by turning the Thimble then Friction Thimble clockwise until the micrometer is closed and you hear the ratchet thimble ''Click''. Press Zero button on micrometer.,If you do not zero out the Micrometer and give the gage a starting point of zero; then any elecrtronic error will compound and skew the reading.
,05_32,Measure the overall height of the vee block and note the value as ''.0000X''(record 5 places); as shown.,
,06_32,Measure the thickness of the vee block from the top of the part to the upper surface of the vee and note the value as ''0.0000Y''; as shown.,
,07_32,Subtract ''Y'' from ''X''; as shown. Record to the nearest .000X.,
,,,
,,,
35_Char,01_35,Locate the Electronic Height Gage.,
,02_35,Find flat surface to work on; placing a cleaned vee Block with no burrs flat on the short edge. Setup the gage with the beveled extender in place as shown.,It is important for the surface to be clean; because if you do not clean the surface; small specks or foreign matter will add to the true measurement.
,03_35,Note mode (IN or mm); make sure the gage is in inch mode by depressing the ''IN/mm'' button.,If the Height Gage is not in the correct mode (IN); you will not attain an accurate reading.
,04_35,Unlock clamping levers on back side of gage. Slide the gage head down to bottom out on the table surface.,The clamping levers are used to hold the sliders in place.
,05_35,Hold zero button (bottom right) until the display shows .0000.,If you forget to press the Zero button; you can introduce an electronic error into the measurement.
,06_35,Raise the body of the gage so that the beveled contact can be slid over and touch the top surface of the part. This can be done by raising the body so that it is approxamitely .100 over the surface to be measured; then lock (A) of the clamping screws.,
,07_35,Turn the knurled fine adjustment knob to lower the beveled contact until it just touches the surface. Sliding the sample part back and forth under the beveled extender may be necessary to feel the touch. Make sure the base of the gage is firm on the table and the fine adjustments does not lift the base off the table.,
,08_35,Record value on paper as ''X'' to the nearest .00X,This value is the height of the part as shown.
,09_35,Locate the Electronic Caliper.,
,10_35,Turn on the power by depressing the red button for 2 seconds.,
,11_35,Note mode (IN or mm); make sure the caliper in inch mode by depressing the left button until ''IN'' is displayed on the screen.,If the Caliper is not in the correct mode (IN); you will not attain an accurate reading.
,12_35,Wipe clean with a finger both outside contacts feeling for burrs as this is done.,If you do not wipe clean the contacts; small specks or foreign matter will add to the true measurement.
,13_35,Close up the outside measuring contacts and make sure the contacts are flush together; and that no light shines through when held up in the light.,The purpose of this test is to make sure there is no damage to the outside measuring contacts which might have bent the contacts.  If that is the case; you will see light shine through and the reading will not be accurate.
,14_35,Zero out the reading by depressing the right ''Zero'' button once. Do not continue to hold button or the digital caliper will shut off.,If you forget to press the Zero button; you can introduce an electronic error into the measurement.
,15_35,Measure the distance from the edge of the .503 slot width to the right edge of the part per as shown. Note value as ''Y'' to the nearest .00X.,
,16_35,Now measure the distance from the edge of the other .503 slot width to the left edge of the part as shown. Note value as ''Z'' to the nearest .00X.,
,17_35,Add the values of ''Y'' and ''Z''; then add .503 (2X radius) to that number. Note value on paper as ''W'' to the nearest .00X.,
,18_35,Subtract the value of ''W'' calculated in the previous step from value of ''X'' measured using the Height Gage. Record value on paper to the nearest .00X.,
,,,
,,,
,,,
37_Char,01_37,Locate the Thread Plug Gage.,
,02_37,Screw the Thread Go end (green side) of the gage into the lower right hole as shown. Continue to turn until you have engaged about 4 complete threads (4 turns).,If the Thread Go side fits; that means the hole and thread sizes are not smaller than the acceptable values.
,03_37,Locate the Electronic Caliper.,
,04_37,Turn on the power by depressing the red button for 2 seconds.,
,05_37,Note mode (IN or mm); make sure the caliper in inch mode by depressing the left button until ''IN'' is displayed on the screen.,If the Caliper is not in the correct mode (IN); you will not attain an accurate reading.
,06_37,Wipe clean with a finger both outside measuring contacts feeling for burrs as this is done.,If you do not wipe clean the contacts; small specks or foreign matter will add to the true measurement.
,07_37,Close up the outside measuring contacts and make sure the contacts are flush together; and that no light shines through when held up in the light.,The purpose of this test is to make sure there is no damage to the outside measuring contacts which might have bent the contacts.  If that is the case; you will see light shine through and the reading will not be accurate.
,08_37,Zero out the reading by depressing the right ''Zero'' button once. Do not continue to hold button or the digital caliper will shut off.,If you forget to press the Zero button; you can introduce an electronic error into the measurement.
,09_37,Position the part as shown in the sketch. Notice the slot between the right set of threaded holes but not between the left set of threaded holes.,
,10_37,Measure the distance from the outside edge of the thread gage (outside diameter of threads on green side of thread gage) to the bottom edge of the part as shown. Note Value to the nearest .00X.,
,11_37,Subtract  .1847 (norminal Major Diameter of PlugGage/2) from the measurement. Record value on paper to the nearest .00X.,
